metric_category,metric_name,score_weight_within_finance_block,threshold_band_description,numeric_rule_or_band_example,recommended_decision_rule,axis_mapping_in_overall_model
Runway & burn,Runway months,0.2,How many months of runway the company would have after this check at planned burn.,< 9 months = red; 9–12 = amber; 12–18 = green; > 24 = question if they are under‑investing.,Auto‑defer if runway < 9 months unless the founder axis is exceptional; prefer allocations that yield 12–18 months to next inflection.,"Primarily Market/Traction axis, secondary Trust (assumption transparency)."
Runway & burn,Monthly burn,0.1,Absolute burn level relative to team size and stage.,For a 2–3 person pre‑seed software team in developed markets: < 15k/month = lean; 15–30k = normal; > 30k = aggressive.,"Apply a penalty if burn is in the aggressive band without a clear, near‑term learning or revenue milestone; reward unusually lean but realistic plans.","Market/Traction axis, interacts with Founder discipline."
Cost structure,Fixed costs share,0.08,Fixed costs as % of total planned cash outlay over the next 12 months.,> 70% fixed = rigid; 40–70% = balanced; < 40% = flexible.,Flag highly fixed‑cost structures for additional scrutiny; avoid capital‑intensive models where fixed commitments cannot be reduced if the idea changes.,Idea‑vs‑Market axis (business model flexibility).
Cost structure,Marginal cost band,0.08,Structural marginal cost level once basic infra is in place.,SaaS/info products: < 20% of revenue = very attractive; 20–40% = solid; > 40% = weak. Physical/services often higher.,Give upside credit to structurally low marginal‑cost models; discount models that can only win with extreme volume at thin per‑unit margin.,Idea‑vs‑Market and Market/Traction (scalability).
Revenue,Run‑rate revenue (if any),0.12,Presence and level of actual revenue relative to stage and time in market.,Zero but pre‑launch = neutral; zero with > 12 months effort = concern; 1–5k MRR = early traction; 5–20k MRR = strong for 100k checks.,"Do not auto‑reject zero revenue if the product is truly pre‑launch; instead, require strong qualitative traction signals. Use positive revenue to boost Market/Traction score.",Market/Traction axis.
Revenue,Revenue model clarity,0.08,How crisp and standard the monetisation model is.,"Vague (cannot explain who pays for what) = low; clear, standard SaaS/usage/transaction model = high.",Apply a discount to Market/Traction and Idea‑vs‑Market scores when the model is vague or requires multiple hard behavioural changes from customers.,Idea‑vs‑Market and Market/Traction axes.
Unit economics,Contribution margin band,0.1,Unit contribution (revenue minus direct variable cost per customer/order).,Negative at scale assumptions = red; 0–30% = low; 30–60% = medium; > 60% = high.,Avoid models where even optimistic scenarios keep contribution margin in the negative/very low band; prioritise businesses with at least a plausible path to > 50% gross margin in the medium term.,Idea‑vs‑Market axis (economics viability).
Unit economics,CAC payback (directional),0.06,Rough months to recover CAC from unit contribution.,> 36 months or unbounded = red; 18–36 = amber; < 18 = green (once model stabilises).,"At 0‑investment stage, use this as a weak signal only; penalise obviously unsustainable cases where customer acquisition is much costlier than plausible lifetime value.",Market/Traction axis.
Profitability,EBITDA trajectory,0.08,Direction of EBITDA over a simple 12–24 month plan given the proposed check.,EBITDA increasingly negative with no corresponding growth in validated learning = red; deepening with clear step‑changes in product/traction = acceptable; trending towards break‑even = strong.,"Use only for scenario sanity‑checking; do not require early EBITDA positivity, but flag plans where incremental capital mostly increases losses without improving odds of PMF.",Cross‑cuts all axes as a sanity check; primarily Market/Traction.
Profitability,Long‑run net margin potential,0.06,Estimated steady‑state net margin once mature.,< 5% = commodity/low quality; 5–15% = acceptable; > 15% = attractive.,Use to compare ideas across sectors; favour categories where eventual net margin can plausibly exceed 15% unless there is an enormous market or strategic reason to accept thin margins.,Idea‑vs‑Market axis.
Capital efficiency,Milestones per 100k invested,0.08,How many concrete learning or traction milestones 100k can fund.,< 2 material milestones = weak; 2–3 = normal; > 3 with credible plan = strong.,Use as a gating factor: avoid allocations where 100k only funds one small experiment; prioritise founders who can clearly articulate 2–3 meaningful milestones tied to this check.,Founder axis (discipline) and Idea‑vs‑Market (plan quality).
Capital efficiency,Capital intensity of model,0.1,How much total external capital the model likely needs before reaching self‑sustainability or major exit.,< 5m total needed = low intensity; 5–20m = medium; > 20m = high.,"If model is very capital‑intensive, require stronger advantages on Founder and Market axes before allocating; discount otherwise comparable opportunities that require heavy follow‑on financing.",Idea‑vs‑Market axis and Fund‑fit overlay.
